docidx	widx
20	6593
20	6593
21	439
21	790
21	1135
21	1381
21	1506
21	1559
21	2329
21	2484
21	2490
21	3287
21	3670
21	3922
21	4473
21	4739
21	4739
21	4947
21	4994
21	5029
21	5039
21	5241
21	5353
21	5505
21	5508
21	5508
21	5572
21	5714
21	5751
21	5853
21	5881
21	5883
21	5928
21	5951
21	6458
21	6535
21	6720
21	6720
21	6720
21	6720
21	6729
21	6745
22	65
22	65
22	65
22	337
22	390
22	629
22	713
22	1002
22	1276
22	1437
22	1437
22	1739
22	1819
22	1858
22	1858
22	1858
22	2012
22	2694
22	3036
22	3036
22	3091
22	3091
22	3144
22	3144
22	3144
22	3144
22	3144
22	3144
22	3144
22	3144
22	3363
22	3363
22	3446
22	3551
22	3727
22	3860
22	4296
22	4296
22	4296
22	4296
22	4296
22	4296
22	4296
22	4296
22	4296
22	4296
22	4296
22	4381
22	4381
22	4381
22	4394
22	4519
22	4634
22	4667
22	4765
22	4886
22	4956
22	4985
22	5354
22	5354
22	5354
22	5523
22	5603
22	5603
22	5620
22	5682
22	5687
22	5714
22	5714
22	5843
22	5907
23	131
23	358
23	491
23	514
23	843
23	1111
23	1119
23	1134
23	1696
23	1698
23	1810
23	2012
23	2111
23	2136
23	2183
23	2187
23	2310
23	2435
23	2743
23	3046
23	3046
23	3478
23	3670
23	3670
23	3933
23	4142
23	4423
23	4483
23	4744
23	5045
23	5152
23	5224
23	5581
23	5738
23	5738
23	5805
23	5852
23	5862
23	6535
23	6593
24	574
24	686
24	1200
24	1270
24	1373
24	1425
24	2245
24	2958
24	3379
24	3860
24	3866
24	4366
24	4399
24	4402
24	5036
24	5491
24	5491
24	5908
24	6591
24	6593
24	6593
24	6593
24	6599
24	6641
25	406
25	743
25	793
25	793
25	793
25	793
25	793
25	889
25	890
25	890
25	1012
25	1238
25	1276
25	1506
25	2226
25	2532
25	2748
25	3245
25	3441
25	3472
25	3489
25	3489
25	3515
25	4006
25	4268
25	4490
25	4490
25	4526
25	4827
25	4886
25	5546
25	6464
25	6701
25	6728
25	6729
25	6729
25	6729
25	6729
25	6729
25	6729
26	61
26	394
26	526
26	526
26	1000
26	1145
26	1226
26	1421
26	1421
26	1421
26	1425
26	1541
26	1541
26	1753
26	2119
26	2178
26	2178
26	2403
26	2403
26	2431
26	2687
26	2913
26	3117
26	3117
26	3118
26	3203
26	3860
26	3860
26	3875
26	3875
26	3875
26	3875
26	4097
26	4612
26	4656
26	4831
26	5087
26	5489
26	5491
26	5491
26	5547
26	5547
26	6014
26	6014
26	6060
26	6204
26	6266
26	6266
26	6304
26	6307
26	6515
26	6515
26	6593
26	6593
26	6593
26	6611
26	6611
27	526
27	526
27	526
27	998
27	1287
27	1463
27	1881
27	2541
27	3143
27	3144
27	3144
27	3322
27	3322
27	3487
27	3619
27	4596
27	5203
27	5597
27	5603
27	5603
27	5604
27	5843
27	6209
27	6209
27	6212
27	6246
27	6247
27	6674
28	1119
28	1470
28	1845
28	2586
28	3070
28	3784
28	4523
28	5354
28	5603
28	5888
28	6166
28	6166
28	6166
28	6673
29	465
29	667
29	667
29	667
29	908
29	1366
29	2245
29	2419
29	2440
29	2694
29	3350
29	3350
29	3350
29	3356
29	3356
29	3365
29	3487
29	3563
29	3563
29	3860
29	4029
29	4113
29	4299
29	4381
29	6173
29	6720
29	6723
30	1111
30	3618
30	4725
30	5491
30	5491
30	5527
30	5692
30	6624
31	357
31	514
31	526
31	526
31	526
31	526
31	1238
31	1592
31	2113
31	2577
31	2691
31	2691
31	2691
31	2903
31	3222
31	3330
31	3441
31	3708
31	3812
31	4097
31	4175
31	4323
31	4400
31	4855
31	5491
32	801
32	801
32	801
32	801
32	1030
32	1030
32	1559
32	2141
32	2285
32	2670
32	2671
32	2671
32	2671
32	2671
32	2671
32	2671
32	3575
32	4113
32	4260
32	4533
32	4533
32	4716
32	5152
32	5153
32	5170
32	6361
32	6729
33	977
33	1299
33	1711
33	1929
33	2115
33	2182
33	2257
33	2431
33	3089
33	3090
33	3875
33	3876
33	3876
33	3876
33	4752
33	4752
33	4931
33	5143
33	5144
33	5144
33	5489
33	5505
33	5509
33	5509
33	5509
33	5509
33	5509
33	5509
33	5641
33	5707
33	5751
33	6074
33	6076
33	6076
33	6076
33	6177
33	6192
33	6253
33	6253
33	6253
33	6412
33	6593
34	43
34	428
34	503
34	892
34	1752
34	1754
34	2006
34	2241
34	2642
34	2642
34	3061
34	3286
34	3286
34	3286
34	3286
34	3287
34	3384
34	3384
34	3384
34	3384
34	3384
34	3384
34	3643
34	3783
34	4360
34	4360
34	4360
34	4642
34	4755
34	5328
34	5329
34	5329
34	5463
34	5805
34	5871
34	5871
35	299
35	506
35	536
35	536
35	629
35	1370
35	1371
35	1381
35	1421
35	1528
35	1562
35	1896
35	2051
35	2143
35	2417
35	2417
35	2421
35	2580
35	3223
35	3354
35	3401
35	3448
35	3468
35	3554
35	3604
35	3850
35	3860
35	4291
35	5141
35	5387
35	5387
35	5388
35	5463
35	5467
35	5583
35	5584
35	6506
35	6535
35	6536
35	6536
35	6536
35	6720
35	6720
35	6727
36	1559
36	1752
36	2364
36	3309
36	3309
36	3309
36	3309
36	3309
36	3309
36	3309
36	3309
36	3309
36	3309
36	3309
36	3309
36	3309
36	3670
36	3672
36	3813
36	4211
36	4904
36	4996
36	4996
36	5003
36	5004
36	5004
36	5112
36	5437
36	5437
36	6442
36	6446
36	6446
36	6727
36	6727
36	6727
36	6727
36	6727
36	6727
36	6727
36	6727
37	138
37	222
37	370
37	491
37	496
37	496
37	499
37	643
37	647
37	1026
37	1026
37	1029
37	1195
37	1291
37	1320
37	1368
37	1559
37	1998
37	2304
37	2622
37	2974
37	3169
37	3169
37	3169
37	3194
37	3473
37	3473
37	3792
37	3792
37	3802
37	3860
37	3860
37	3866
37	3866
37	3919
37	3923
37	4239
37	4366
37	4562
37	4570
37	4570
37	4667
37	4758
37	4785
37	4965
37	4991
37	5199
37	5491
37	5527
37	5527
37	5871
37	5871
37	5925
37	5925
37	5937
37	6070
37	6176
37	6219
37	6220
37	6220
37	6331
37	6575
37	6575
37	6720
37	6720
37	6720
37	6729
37	6729
38	309
38	309
38	386
38	827
38	827
38	835
38	835
38	835
38	842
38	1404
38	1837
38	1837
38	1837
38	2295
38	2880
38	3191
38	3246
38	3603
38	3603
38	3603
38	3923
38	3923
38	3930
38	3930
38	3930
38	4263
38	4500
38	4978
38	5110
38	5463
38	5731
38	6214
38	6403
38	6571
38	6720
39	86
39	801
39	884
39	1421
39	1812
39	1859
39	2065
39	2251
39	2251
39	2453
39	2517
39	2621
39	2621
39	2621
39	2700
39	2958
39	3079
39	3079
39	3083
39	3083
39	3083
39	3083
39	3083
39	3550
39	3815
39	3933
39	4382
39	4382
39	4953
39	5194
39	5194
39	5198
39	5502
39	5522
39	5701
39	6271
39	6271
39	6271
39	6271
39	6271
39	6271
39	6312
39	6679
39	6679
39	6679
39	6679
39	6679
39	6711
40	309
40	309
40	443
40	1404
40	1539
40	1539
40	1539
40	1539
40	1539
40	1539
40	1539
40	1540
40	2093
40	2235
40	2517
40	2944
40	2944
40	3203
40	3204
40	3204
40	3204
40	3653
40	4615
40	5426
40	6115
40	6388
40	6593
41	24
41	24
41	24
41	24
41	24
41	24
41	24
41	24
41	123
41	123
41	123
41	123
41	123
41	123
41	491
41	491
41	496
41	496
41	843
41	1026
41	1326
41	1528
41	1797
41	2457
41	2614
41	2843
41	3017
41	3169
41	3169
41	3643
41	3921
41	4556
41	4737
41	5017
41	5199
41	5204
41	5456
41	5611
