docidx	widx
85	3287
85	6001
85	2296
85	5242
85	6720
85	36
85	264
85	6593
85	2327
85	4402
85	1299
85	5141
85	3086
85	264
85	1425
86	6640
86	5459
86	4648
86	721
86	4240
86	2242
86	3154
86	4240
86	3395
86	1541
86	6495
86	491
86	3204
86	491
86	637
86	6077
86	5555
87	5751
87	296
87	5491
87	6593
87	3860
87	4647
87	3860
87	4188
87	3860
87	3779
87	2283
88	2391
88	4238
88	1960
88	1419
88	1836
88	4396
88	4399
89	5199
89	6194
89	6194
89	3444
89	129
89	129
89	5199
89	129
89	2089
90	5722
90	3255
90	3350
90	3749
90	4965
90	721
90	4965
90	1676
90	1556
90	721
91	1985
91	162
91	5405
91	4615
91	162
91	4415
91	412
91	3857
91	5405
92	5732
92	5449
92	4160
92	5877
92	4642
92	4097
93	3305
93	1219
93	6727
93	6727
93	5463
93	2694
93	4980
93	2647
93	3399
93	6727
94	1310
94	5200
94	5608
94	4876
94	1072
95	2283
95	2736
95	2426
95	490
95	6134
95	976
95	6414
95	3780
95	669
95	5715
96	990
96	5143
96	6077
96	4616
96	6077
97	4470
97	1981
97	1985
97	526
97	1981
97	1981
97	4470
97	1895
98	6265
98	6265
98	5300
98	3850
98	6266
98	6593
99	1301
99	6593
99	5714
99	3933
99	4199
99	5714
100	230
100	4258
100	5702
100	5703
100	2756
100	5703
100	5502
100	2756
100	230
100	6513
100	4454
100	5702
100	5703
100	4850
100	1796
100	3322
101	1966
101	3966
101	539
101	6733
101	613
101	3860
101	5920
101	5920
101	5387
102	5889
102	3068
102	6720
102	3169
102	5889
102	1753
103	1226
103	3287
103	6729
103	2185
103	6021
103	6049
104	5457
104	3641
104	3850
104	2160
104	3800
104	3800
104	496
104	1849
104	1979
104	1062
104	163
105	5474
105	526
105	6720
106	5697
106	1346
106	951
106	3399
106	3444
106	1015
106	214
107	506
107	2487
107	5587
107	3860
107	1506
108	5865
108	5988
108	5308
108	835
108	646
108	4739
108	5190
108	2188
108	425
109	3384
109	6176
109	2487
109	1123
109	6593
110	6134
110	5291
110	155
110	138
110	2793
110	3092
110	5400
110	6352
111	4569
111	4232
111	6065
111	4819
111	3327
111	5604
111	6065
111	131
111	6132
111	3742
112	5456
112	496
112	2423
112	2106
112	1768
113	6053
113	1559
113	6053
113	5821
113	6727
113	1139
113	4822
113	6053
113	17
113	1139
114	1714
114	491
114	4949
114	491
114	491
114	496
114	2435
114	5270
114	6616
114	2736
115	526
115	2308
115	3778
115	5845
115	526
115	2445
116	3643
116	5845
116	3260
116	6593
116	2289
116	6593
116	1202
116	2263
116	2289
116	6152
117	2012
117	3888
117	6477
117	3888
117	6535
118	6723
118	5632
118	3191
118	3350
118	3350
118	3402
118	6723
118	2577
118	5706
119	6209
119	3595
119	1559
119	5817
119	1717
119	491
119	884
120	3120
120	1470
120	3550
120	5345
120	350
120	158
120	1353
120	1981
121	3850
121	2640
121	5545
121	1436
121	2765
121	3850
121	4399
121	1585
121	1823
121	5545
121	6593
121	1823
122	6074
122	6593
122	2919
122	5928
122	526
122	4292
122	2464
122	6593
122	6043
122	4292
122	3861
122	3860
122	6074
122	2915
123	4655
123	6023
123	6023
123	5554
124	2217
124	1528
125	3178
125	249
125	713
125	2516
125	4805
125	6271
125	6329
125	2516
125	2327
125	4579
125	2516
125	4926
125	5714
125	5714
125	249
125	3578
125	526
125	4639
126	4923
126	4212
126	5489
126	6209
126	3860
126	5454
126	6209
126	1425
127	5241
127	5533
127	5534
127	5241
127	3555
127	3554
128	6753
128	3850
128	5751
128	526
128	5456
128	6414
128	5603
128	3780
129	3255
129	4366
129	5920
129	522
130	4368
130	5446
130	4862
130	5532
130	1604
131	4800
131	3100
131	2694
131	1440
131	6505
131	5842
131	189
132	2294
132	1985
132	541
132	2252
132	5664
132	440
132	3987
132	4029
132	1655
132	6365
133	5613
133	5945
133	6535
133	5613
133	4114
133	5613
133	2481
133	774
133	2153
134	2088
134	6680
134	6231
134	4415
134	2278
134	3860
134	2990
135	3400
135	3876
135	3860
136	2688
136	2286
136	383
136	3399
136	2289
136	4184
136	6077
136	2419
136	4097
136	4996
136	6569
137	5679
137	6735
137	4779
137	1389
137	239
137	835
137	6736
138	6593
138	1
138	5031
138	6112
138	3964
139	1871
139	5639
139	4962
139	5111
139	4962
139	6252
139	6252
139	2532
139	3972
140	1871
140	5962
140	464
140	87
140	2153
140	1461
140	611
140	1907
140	3575
140	6624
140	6477
140	2532
140	3933
140	5940
140	6745
140	5106
140	1291
140	6513
140	1521
140	1230
141	3361
141	3443
141	1823
141	6614
141	2694
141	5708
141	74
142	5788
142	3447
142	3306
142	3444
142	3306
